          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
    0.000     1     1 |    0.0078    0.0078 |
   64.350     5     6 |    0.0113    0.0190 |
  128.700     5    11 |    0.0106    0.0297 |
  193.050     5    16 |    0.0111    0.0408 |
  257.400     5    21 |    0.0109    0.0517 |
  321.750     5    26 |    0.0116    0.0633 |
  386.100     5    31 |    0.0115    0.0748 |
  450.450     5    36 |    0.0110    0.0859 |
  514.800     5    41 |    0.0109    0.0967 |
  579.150     5    46 |    0.0107    0.1074 |
  643.500     5    51 |    0.0109    0.1184 |
  707.850     5    56 |    0.0108    0.1291 |
  772.200     5    61 |    0.0109    0.1400 |
  836.550     5    66 |    0.0110    0.1510 |
  900.900     5    71 |    0.0106    0.1617 |
  965.250     5    76 |    0.0107    0.1723 |
