          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
    0.000     1     1 |    0.0020    0.0020 |
    0.975    15    16 |    0.0233    0.0253 |
    1.950    15    31 |    0.0232    0.0485 |
    2.925    15    46 |    0.0232    0.0717 |
    3.900    15    61 |    0.0236    0.0953 |
    4.875    15    76 |    0.0232    0.1184 |
    5.850    15    91 |    0.0235    0.1419 |
    6.825    15   106 |    0.0233    0.1651 |
    7.800    15   121 |    0.0236    0.1887 |
    8.775    15   136 |    0.0233    0.2120 |
    9.750    15   151 |    0.0232    0.2352 |
   10.725    15   166 |    0.0232    0.2584 |
   11.700    15   181 |    0.0233    0.2816 |
   12.675    15   196 |    0.0232    0.3048 |
   13.650    15   211 |    0.0232    0.3281 |
   14.625    15   226 |    0.0233    0.3513 |
   15.600    15   241 |    0.0242    0.3756 |
   16.575    15   256 |    0.0231    0.3987 |
   17.550    15   271 |    0.0234    0.4221 |
   18.525    15   286 |    0.0232    0.4453 |
   19.500    15   301 |    0.0235    0.4688 |
   20.475    15   316 |    0.0234    0.4922 |
   21.450    15   331 |    0.0233    0.5155 |
   22.425    15   346 |    0.0232    0.5387 |
   23.400    15   361 |    0.0234    0.5622 |
   24.375    15   376 |    0.0232    0.5853 |
   25.350    15   391 |    0.0232    0.6085 |
   26.325    15   406 |    0.0232    0.6318 |
   27.300    15   421 |    0.0233    0.6551 |
   28.275    15   436 |    0.0232    0.6783 |
   29.250    15   451 |    0.0234    0.7017 |
   30.225    15   466 |    0.0236    0.7253 |
   31.200    15   481 |    0.0232    0.7485 |
   32.175    15   496 |    0.0235    0.7720 |
   33.150    15   511 |    0.0240    0.7961 |
   34.125    15   526 |    0.0235    0.8195 |
   35.100    15   541 |    0.0232    0.8428 |
   36.075    15   556 |    0.0233    0.8661 |
   37.050    15   571 |    0.0232    0.8892 |
   38.025    15   586 |    0.0232    0.9125 |
   39.000    15   601 |    0.0233    0.9357 |
   39.975    15   616 |    0.0232    0.9589 |
   40.950    15   631 |    0.0233    0.9823 |
   41.925    15   646 |    0.0232    1.0055 |
   42.900    15   661 |    0.0232    1.0287 |
   43.875    15   676 |    0.0232    1.0519 |
   44.850    15   691 |    0.0233    1.0752 |
   45.825    15   706 |    0.0232    1.0984 |
   46.800    15   721 |    0.0233    1.1217 |
   47.775    15   736 |    0.0232    1.1449 |
   48.750    15   751 |    0.0235    1.1684 |
   49.725    15   766 |    0.0235    1.1919 |
   50.700    15   781 |    0.0227    1.2146 |
   51.675    15   796 |    0.0220    1.2366 |
   52.650    15   811 |    0.0214    1.2579 |
   53.625    15   826 |    0.0210    1.2789 |
   54.600    15   841 |    0.0203    1.2993 |
   55.575    15   856 |    0.0202    1.3195 |
   56.550    15   871 |    0.0197    1.3391 |
   57.525    15   886 |    0.0194    1.3585 |
   58.500    15   901 |    0.0192    1.3777 |
   59.475    15   916 |    0.0189    1.3966 |
   60.450    15   931 |    0.0187    1.4152 |
   61.425    15   946 |    0.0184    1.4336 |
   62.400    15   961 |    0.0182    1.4518 |
   63.375    15   976 |    0.0180    1.4698 |
   64.350    15   991 |    0.0178    1.4876 |
   65.325    15  1006 |    0.0177    1.5052 |
   66.300    15  1021 |    0.0175    1.5227 |
   67.275    15  1036 |    0.0173    1.5400 |
   68.250    15  1051 |    0.0171    1.5570 |
   69.225    15  1066 |    0.0169    1.5740 |
   70.200    15  1081 |    0.0173    1.5913 |
   71.175    15  1096 |    0.0167    1.6080 |
   72.150    15  1111 |    0.0166    1.6246 |
   73.125    15  1126 |    0.0163    1.6410 |
   74.100    15  1141 |    0.0162    1.6572 |
   75.075    15  1156 |    0.0162    1.6734 |
   76.050    15  1171 |    0.0160    1.6894 |
   77.025    15  1186 |    0.0162    1.7056 |
   78.000    15  1201 |    0.0160    1.7216 |
   78.975    15  1216 |    0.0162    1.7378 |
   79.950    15  1231 |    0.0160    1.7538 |
   80.925    15  1246 |    0.0160    1.7698 |
   81.900    15  1261 |    0.0159    1.7857 |
   82.875    15  1276 |    0.0160    1.8017 |
   83.850    15  1291 |    0.0159    1.8176 |
