          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
    0.000     1     1 |    0.0024    0.0024 |
    0.975    15    16 |    0.0308    0.0333 |
    1.950    15    31 |    0.0311    0.0643 |
    2.925    15    46 |    0.0308    0.0951 |
    3.900    15    61 |    0.0310    0.1261 |
    4.875    15    76 |    0.0307    0.1569 |
    5.850    15    91 |    0.0308    0.1876 |
    6.825    15   106 |    0.0307    0.2184 |
    7.800    15   121 |    0.0308    0.2492 |
    8.775    15   136 |    0.0309    0.2801 |
    9.750    15   151 |    0.0308    0.3108 |
   10.725    15   166 |    0.0313    0.3422 |
   11.700    15   181 |    0.0307    0.3729 |
   12.675    15   196 |    0.0308    0.4037 |
   13.650    15   211 |    0.0309    0.4346 |
   14.625    15   226 |    0.0311    0.4656 |
   15.600    15   241 |    0.0308    0.4964 |
   16.575    15   256 |    0.0308    0.5272 |
   17.550    15   271 |    0.0308    0.5580 |
   18.525    15   286 |    0.0310    0.5890 |
   19.500    15   301 |    0.0308    0.6197 |
   20.475    15   316 |    0.0308    0.6505 |
   21.450    15   331 |    0.0309    0.6814 |
   22.425    15   346 |    0.0310    0.7124 |
   23.400    15   361 |    0.0308    0.7432 |
   24.375    15   376 |    0.0310    0.7742 |
   25.350    15   391 |    0.0309    0.8052 |
   26.325    15   406 |    0.0307    0.8359 |
   27.300    15   421 |    0.0312    0.8671 |
   28.275    15   436 |    0.0308    0.8979 |
   29.250    15   451 |    0.0309    0.9288 |
   30.225    15   466 |    0.0308    0.9596 |
   31.200    15   481 |    0.0308    0.9905 |
   32.175    15   496 |    0.0307    1.0211 |
   33.150    15   511 |    0.0307    1.0519 |
   34.125    15   526 |    0.0310    1.0828 |
   35.100    15   541 |    0.0307    1.1136 |
   36.075    15   556 |    0.0309    1.1445 |
   37.050    15   571 |    0.0308    1.1753 |
   38.025    15   586 |    0.0308    1.2061 |
   39.000    15   601 |    0.0308    1.2369 |
   39.975    15   616 |    0.0308    1.2678 |
   40.950    15   631 |    0.0307    1.2985 |
   41.925    15   646 |    0.0309    1.3294 |
   42.900    15   661 |    0.0310    1.3603 |
   43.875    15   676 |    0.0310    1.3913 |
   44.850    15   691 |    0.0308    1.4221 |
   45.825    15   706 |    0.0308    1.4530 |
   46.800    15   721 |    0.0309    1.4839 |
   47.775    15   736 |    0.0303    1.5141 |
   48.750    15   751 |    0.0312    1.5453 |
   49.725    15   766 |    0.0307    1.5760 |
   50.700    15   781 |    0.0310    1.6070 |
   51.675    15   796 |    0.0308    1.6378 |
   52.650    15   811 |    0.0308    1.6686 |
   53.625    15   826 |    0.0308    1.6993 |
   54.600    15   841 |    0.0308    1.7301 |
   55.575    15   856 |    0.0309    1.7610 |
   56.550    15   871 |    0.0309    1.7919 |
   57.525    15   886 |    0.0307    1.8226 |
   58.500    15   901 |    0.0311    1.8537 |
   59.475    15   916 |    0.0307    1.8845 |
   60.450    15   931 |    0.0308    1.9153 |
   61.425    15   946 |    0.0308    1.9461 |
   62.400    15   961 |    0.0307    1.9768 |
   63.375    15   976 |    0.0308    2.0075 |
   64.350    15   991 |    0.0307    2.0382 |
   65.325    15  1006 |    0.0307    2.0690 |
   66.300    15  1021 |    0.0309    2.0999 |
   67.275    15  1036 |    0.0307    2.1306 |
   68.250    15  1051 |    0.0308    2.1614 |
   69.225    15  1066 |    0.0307    2.1921 |
   70.200    15  1081 |    0.0308    2.2230 |
   71.175    15  1096 |    0.0308    2.2538 |
   72.150    15  1111 |    0.0307    2.2845 |
   73.125    15  1126 |    0.0308    2.3153 |
   74.100    15  1141 |    0.0307    2.3460 |
   75.075    15  1156 |    0.0307    2.3767 |
   76.050    15  1171 |    0.0310    2.4077 |
   77.025    15  1186 |    0.0308    2.4385 |
   78.000    15  1201 |    0.0307    2.4692 |
   78.975    15  1216 |    0.0308    2.5000 |
   79.950    15  1231 |    0.0310    2.5310 |
   80.925    15  1246 |    0.0308    2.5619 |
   81.900    15  1261 |    0.0307    2.5926 |
   82.875    15  1276 |    0.0307    2.6233 |
   83.850    15  1291 |    0.0309    2.6542 |
   84.825    15  1306 |    0.0309    2.6851 |
   85.800    15  1321 |    0.0309    2.7159 |
   86.775    15  1336 |    0.0307    2.7466 |
   87.750    15  1351 |    0.0307    2.7774 |
   88.725    15  1366 |    0.0309    2.8082 |
   89.700    15  1381 |    0.0308    2.8390 |
   90.675    15  1396 |    0.0308    2.8698 |
   91.650    15  1411 |    0.0307    2.9006 |
   92.625    15  1426 |    0.0308    2.9313 |
   93.600    15  1441 |    0.0308    2.9622 |
