          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
    0.000     1     1 |    0.0073    0.0073 |
   64.350     5     6 |    0.0108    0.0182 |
  128.700     5    11 |    0.0107    0.0288 |
  193.050     5    16 |    0.0109    0.0397 |
  257.400     5    21 |    0.0112    0.0509 |
  321.750     5    26 |    0.0112    0.0621 |
  386.100     5    31 |    0.0130    0.0751 |
  450.450     5    36 |    0.0112    0.0863 |
  514.800     5    41 |    0.0119    0.0982 |
  579.150     5    46 |    0.0110    0.1092 |
  643.500     5    51 |    0.0112    0.1204 |
  707.850     5    56 |    0.0108    0.1311 |
  772.200     5    61 |    0.0109    0.1421 |
  836.550     5    66 |    0.0107    0.1528 |
  900.900     5    71 |    0.0110    0.1639 |
  965.250     5    76 |    0.0110    0.1748 |
