          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
    0.000     1     1 |    0.0020    0.0020 |
    0.975    15    16 |    0.0232    0.0252 |
    1.950    15    31 |    0.0233    0.0484 |
    2.925    15    46 |    0.0235    0.0719 |
    3.900    15    61 |    0.0234    0.0953 |
    4.875    15    76 |    0.0232    0.1185 |
    5.850    15    91 |    0.0233    0.1418 |
    6.825    15   106 |    0.0233    0.1651 |
    7.800    15   121 |    0.0240    0.1891 |
    8.775    15   136 |    0.0236    0.2127 |
    9.750    15   151 |    0.0243    0.2370 |
   10.725    15   166 |    0.0241    0.2611 |
   11.700    15   181 |    0.0234    0.2845 |
   12.675    15   196 |    0.0234    0.3079 |
   13.650    15   211 |    0.0235    0.3314 |
   14.625    15   226 |    0.0244    0.3558 |
   15.600    15   241 |    0.0240    0.3798 |
   16.575    15   256 |    0.0238    0.4036 |
   17.550    15   271 |    0.0242    0.4278 |
   18.525    15   286 |    0.0236    0.4514 |
   19.500    15   301 |    0.0233    0.4748 |
   20.475    15   316 |    0.0234    0.4982 |
   21.450    15   331 |    0.0241    0.5223 |
   22.425    15   346 |    0.0235    0.5457 |
   23.400    15   361 |    0.0239    0.5696 |
   24.375    15   376 |    0.0238    0.5934 |
   25.350    15   391 |    0.0250    0.6184 |
   26.325    15   406 |    0.0244    0.6428 |
   27.300    15   421 |    0.0243    0.6671 |
   28.275    15   436 |    0.0244    0.6915 |
   29.250    15   451 |    0.0239    0.7154 |
   30.225    15   466 |    0.0240    0.7395 |
   31.200    15   481 |    0.0242    0.7636 |
   32.175    15   496 |    0.0239    0.7875 |
   33.150    15   511 |    0.0237    0.8112 |
   34.125    15   526 |    0.0244    0.8355 |
   35.100    15   541 |    0.0240    0.8595 |
   36.075    15   556 |    0.0237    0.8832 |
   37.050    15   571 |    0.0236    0.9068 |
   38.025    15   586 |    0.0241    0.9308 |
   39.000    15   601 |    0.0239    0.9547 |
   39.975    15   616 |    0.0237    0.9784 |
   40.950    15   631 |    0.0236    1.0020 |
   41.925    15   646 |    0.0238    1.0258 |
   42.900    15   661 |    0.0241    1.0498 |
   43.875    15   676 |    0.0234    1.0732 |
   44.850    15   691 |    0.0239    1.0972 |
   45.825    15   706 |    0.0241    1.1213 |
   46.800    15   721 |    0.0240    1.1453 |
   47.775    15   736 |    0.0235    1.1688 |
   48.750    15   751 |    0.0235    1.1923 |
   49.725    15   766 |    0.0238    1.2161 |
   50.700    15   781 |    0.0229    1.2390 |
   51.675    15   796 |    0.0226    1.2616 |
   52.650    15   811 |    0.0228    1.2844 |
   53.625    15   826 |    0.0206    1.3050 |
   54.600    15   841 |    0.0207    1.3257 |
   55.575    15   856 |    0.0198    1.3455 |
   56.550    15   871 |    0.0192    1.3647 |
   57.525    15   886 |    0.0190    1.3837 |
   58.500    15   901 |    0.0187    1.4024 |
   59.475    15   916 |    0.0186    1.4210 |
   60.450    15   931 |    0.0182    1.4392 |
   61.425    15   946 |    0.0181    1.4573 |
   62.400    15   961 |    0.0178    1.4751 |
   63.375    15   976 |    0.0177    1.4928 |
   64.350    15   991 |    0.0174    1.5102 |
   65.325    15  1006 |    0.0173    1.5275 |
   66.300    15  1021 |    0.0171    1.5445 |
   67.275    15  1036 |    0.0170    1.5615 |
   68.250    15  1051 |    0.0169    1.5784 |
   69.225    15  1066 |    0.0168    1.5952 |
   70.200    15  1081 |    0.0165    1.6117 |
   71.175    15  1096 |    0.0164    1.6280 |
   72.150    15  1111 |    0.0163    1.6444 |
   73.125    15  1126 |    0.0159    1.6603 |
   74.100    15  1141 |    0.0159    1.6762 |
   75.075    15  1156 |    0.0159    1.6921 |
   76.050    15  1171 |    0.0160    1.7082 |
   77.025    15  1186 |    0.0160    1.7242 |
   78.000    15  1201 |    0.0160    1.7402 |
   78.975    15  1216 |    0.0160    1.7562 |
   79.950    15  1231 |    0.0160    1.7722 |
   80.925    15  1246 |    0.0159    1.7881 |
   81.900    15  1261 |    0.0159    1.8040 |
   82.875    15  1276 |    0.0161    1.8200 |
   83.850    15  1291 |    0.0161    1.8362 |
