          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    0.000     0     0     0.0      0      0 |    1     1    0.0171    0.0171    0.0000 |
    0.975     0     0     0.0      0      0 |   15    16    0.0644    0.0043    0.0000 |
    1.950     0     0     0.0      0      0 |   15    31    0.0646    0.0043    0.0000 |
    2.925     0     0     0.0      0      0 |   15    46    0.0647    0.0043    0.0000 |
    3.900     0     0     0.0      0      0 |   15    61    0.0653    0.0044    0.0000 |
    4.875     0     0     0.0      0      0 |   15    76    0.0644    0.0043    0.0000 |
    5.850     0     0     0.0      0      0 |   15    91    0.0643    0.0043    0.0000 |
    6.825     0     0     0.0      0      0 |   15   106    0.0644    0.0043    0.0000 |
    7.800     0     0     0.0      0      0 |   15   121    0.0666    0.0044    0.0000 |
    8.775     0     0     0.0      0      0 |   15   136    0.0665    0.0044    0.0000 |
    9.750     0     0     0.0      0      0 |   15   151    0.0665    0.0044    0.0000 |
   10.725     0     0     0.0      0      0 |   15   166    0.0658    0.0044    0.0000 |
   11.700     0     0     0.0      0      0 |   15   181    0.0649    0.0043    0.0000 |
   12.675     0     0     0.0      0      0 |   15   196    0.0648    0.0043    0.0000 |
   13.650     0     0     0.0      0      0 |   15   211    0.0661    0.0044    0.0000 |
   14.625     0     0     0.0      0      0 |   15   226    0.0679    0.0045    0.0000 |
   15.600     0     0     0.0      0      0 |   15   241    0.0666    0.0044    0.0000 |
   16.575     0     0     0.0      0      0 |   15   256    0.0663    0.0044    0.0000 |
   17.550     0     0     0.0      0      0 |   15   271    0.0669    0.0045    0.0000 |
   18.525     0     0     0.0      0      0 |   15   286    0.0649    0.0043    0.0000 |
   19.500     0     0     0.0      0      0 |   15   301    0.0653    0.0044    0.0000 |
   20.475     0     0     0.0      0      0 |   15   316    0.0654    0.0044    0.0000 |
   21.450     0     0     0.0      0      0 |   15   331    0.0657    0.0044    0.0000 |
   22.425     0     0     0.0      0      0 |   15   346    0.0648    0.0043    0.0000 |
   23.400     0     0     0.0      0      0 |   15   361    0.0652    0.0043    0.0000 |
   24.375     0     0     0.0      0      0 |   15   376    0.0650    0.0043    0.0000 |
   25.350     0     0     0.0      0      0 |   15   391    0.0700    0.0047    0.0000 |
   26.325     0     0     0.0      0      0 |   15   406    0.0677    0.0045    0.0000 |
   27.300     0     0     0.0      0      0 |   15   421    0.0665    0.0044    0.0000 |
   28.275     0     0     0.0      0      0 |   15   436    0.0663    0.0044    0.0000 |
   29.250     0     0     0.0      0      0 |   15   451    0.0659    0.0044    0.0000 |
   30.225     0     0     0.0      0      0 |   15   466    0.0662    0.0044    0.0000 |
   31.200     0     0     0.0      0      0 |   15   481    0.0661    0.0044    0.0000 |
   32.175     0     0     0.0      0      0 |   15   496    0.0653    0.0044    0.0000 |
   33.150     0     0     0.0      0      0 |   15   511    0.0653    0.0044    0.0000 |
   34.125     0     0     0.0      0      0 |   15   526    0.0656    0.0044    0.0000 |
   35.100     0     0     0.0      0      0 |   15   541    0.0665    0.0044    0.0000 |
   36.075     0     0     0.0      0      0 |   15   556    0.0659    0.0044    0.0000 |
   37.050     0     0     0.0      0      0 |   15   571    0.0655    0.0044    0.0000 |
   38.025     0     0     0.0      0      0 |   15   586    0.0657    0.0044    0.0000 |
   39.000     0     0     0.0      0      0 |   15   601    0.0657    0.0044    0.0000 |
   39.975     0     0     0.0      0      0 |   15   616    0.0651    0.0043    0.0000 |
   40.950     0     0     0.0      0      0 |   15   631    0.0648    0.0043    0.0000 |
   41.925     0     0     0.0      0      0 |   15   646    0.0662    0.0044    0.0000 |
   42.900     0     0     0.0      0      0 |   15   661    0.0662    0.0044    0.0000 |
   43.875     0     0     0.0      0      0 |   15   676    0.0648    0.0043    0.0000 |
   44.850     0     0     0.0      0      0 |   15   691    0.0658    0.0044    0.0000 |
   45.825     0     0     0.0      0      0 |   15   706    0.0655    0.0044    0.0000 |
   46.800     0     0     0.0      0      0 |   15   721    0.0660    0.0044    0.0000 |
   47.775     0     0     0.0      0      0 |   15   736    0.0647    0.0043    0.0000 |
   48.750     0     0     0.0      0      0 |   15   751    0.0656    0.0044    0.0000 |
   49.725     0     0     0.0      0      0 |   15   766    0.0658    0.0044    0.0000 |
   50.700     0     4     2.9     44     44 |   15   781    0.2167    0.0144    0.0049 |
   51.675     4     4     4.0     60    104 |   15   796    0.2774    0.0185    0.0046 |
   52.650     4     4     4.0     60    164 |   15   811    0.2715    0.0181    0.0045 |
   53.625     4     4     4.0     60    224 |   15   826    0.2661    0.0177    0.0044 |
   54.600     4     4     4.0     60    284 |   15   841    0.2744    0.0183    0.0046 |
   55.575     4     4     4.0     60    344 |   15   856    0.2650    0.0177    0.0044 |
   56.550     4     4     4.0     60    404 |   15   871    0.2608    0.0174    0.0043 |
   57.525     4     4     4.0     60    464 |   15   886    0.2607    0.0174    0.0043 |
   58.500     4     4     4.0     60    524 |   15   901    0.2593    0.0173    0.0043 |
