          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
    0.000     1     1 |    0.0072    0.0072 |
   64.350     5     6 |    0.0111    0.0183 |
  128.700     5    11 |    0.0107    0.0290 |
  193.050     5    16 |    0.0107    0.0396 |
  257.400     5    21 |    0.0109    0.0505 |
  321.750     5    26 |    0.0109    0.0614 |
  386.100     5    31 |    0.0110    0.0724 |
  450.450     5    36 |    0.0109    0.0833 |
  514.800     5    41 |    0.0110    0.0943 |
  579.150     5    46 |    0.0109    0.1052 |
  643.500     5    51 |    0.0110    0.1162 |
  707.850     5    56 |    0.0105    0.1268 |
  772.200     5    61 |    0.0107    0.1374 |
  836.550     5    66 |    0.0107    0.1481 |
  900.900     5    71 |    0.0108    0.1589 |
  965.250     5    76 |    0.0105    0.1694 |
