          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
    0.000     1     1 |    0.0019    0.0019 |
    0.975    15    16 |    0.0232    0.0251 |
    1.950    15    31 |    0.0232    0.0483 |
    2.925    15    46 |    0.0232    0.0715 |
    3.900    15    61 |    0.0235    0.0950 |
    4.875    15    76 |    0.0232    0.1182 |
    5.850    15    91 |    0.0232    0.1414 |
    6.825    15   106 |    0.0235    0.1649 |
    7.800    15   121 |    0.0233    0.1882 |
    8.775    15   136 |    0.0232    0.2114 |
    9.750    15   151 |    0.0232    0.2346 |
   10.725    15   166 |    0.0233    0.2579 |
   11.700    15   181 |    0.0232    0.2811 |
   12.675    15   196 |    0.0237    0.3048 |
   13.650    15   211 |    0.0234    0.3282 |
   14.625    15   226 |    0.0233    0.3515 |
   15.600    15   241 |    0.0233    0.3748 |
   16.575    15   256 |    0.0234    0.3981 |
   17.550    15   271 |    0.0233    0.4215 |
   18.525    15   286 |    0.0234    0.4448 |
   19.500    15   301 |    0.0234    0.4682 |
   20.475    15   316 |    0.0233    0.4915 |
   21.450    15   331 |    0.0234    0.5149 |
   22.425    15   346 |    0.0232    0.5382 |
   23.400    15   361 |    0.0234    0.5615 |
   24.375    15   376 |    0.0232    0.5847 |
   25.350    15   391 |    0.0233    0.6081 |
   26.325    15   406 |    0.0233    0.6313 |
   27.300    15   421 |    0.0235    0.6548 |
   28.275    15   436 |    0.0232    0.6780 |
   29.250    15   451 |    0.0234    0.7014 |
   30.225    15   466 |    0.0233    0.7248 |
   31.200    15   481 |    0.0234    0.7482 |
   32.175    15   496 |    0.0235    0.7717 |
   33.150    15   511 |    0.0232    0.7950 |
   34.125    15   526 |    0.0232    0.8181 |
   35.100    15   541 |    0.0236    0.8417 |
   36.075    15   556 |    0.0234    0.8651 |
   37.050    15   571 |    0.0232    0.8883 |
   38.025    15   586 |    0.0232    0.9116 |
   39.000    15   601 |    0.0241    0.9357 |
   39.975    15   616 |    0.0233    0.9590 |
   40.950    15   631 |    0.0235    0.9824 |
   41.925    15   646 |    0.0234    1.0058 |
   42.900    15   661 |    0.0235    1.0293 |
   43.875    15   676 |    0.0232    1.0525 |
   44.850    15   691 |    0.0232    1.0757 |
   45.825    15   706 |    0.0233    1.0990 |
   46.800    15   721 |    0.0234    1.1225 |
   47.775    15   736 |    0.0231    1.1456 |
   48.750    15   751 |    0.0232    1.1688 |
   49.725    15   766 |    0.0232    1.1920 |
   50.700    15   781 |    0.0231    1.2151 |
   51.675    15   796 |    0.0226    1.2377 |
   52.650    15   811 |    0.0223    1.2600 |
   53.625    15   826 |    0.0220    1.2820 |
   54.600    15   841 |    0.0217    1.3037 |
   55.575    15   856 |    0.0216    1.3253 |
   56.550    15   871 |    0.0211    1.3464 |
   57.525    15   886 |    0.0209    1.3673 |
   58.500    15   901 |    0.0206    1.3879 |
   59.475    15   916 |    0.0205    1.4084 |
   60.450    15   931 |    0.0203    1.4287 |
   61.425    15   946 |    0.0201    1.4488 |
   62.400    15   961 |    0.0200    1.4688 |
   63.375    15   976 |    0.0194    1.4882 |
   64.350    15   991 |    0.0192    1.5075 |
   65.325    15  1006 |    0.0192    1.5267 |
   66.300    15  1021 |    0.0189    1.5455 |
   67.275    15  1036 |    0.0186    1.5641 |
   68.250    15  1051 |    0.0183    1.5824 |
   69.225    15  1066 |    0.0182    1.6006 |
   70.200    15  1081 |    0.0179    1.6185 |
   71.175    15  1096 |    0.0178    1.6363 |
   72.150    15  1111 |    0.0175    1.6538 |
   73.125    15  1126 |    0.0174    1.6713 |
   74.100    15  1141 |    0.0172    1.6884 |
   75.075    15  1156 |    0.0170    1.7054 |
   76.050    15  1171 |    0.0169    1.7224 |
   77.025    15  1186 |    0.0168    1.7392 |
   78.000    15  1201 |    0.0167    1.7559 |
   78.975    15  1216 |    0.0171    1.7730 |
   79.950    15  1231 |    0.0166    1.7895 |
   80.925    15  1246 |    0.0166    1.8061 |
   81.900    15  1261 |    0.0164    1.8226 |
   82.875    15  1276 |    0.0165    1.8391 |
   83.850    15  1291 |    0.0163    1.8554 |
   84.825    15  1306 |    0.0163    1.8717 |
   85.800    15  1321 |    0.0164    1.8882 |
   86.775    15  1336 |    0.0162    1.9043 |
   87.750    15  1351 |    0.0162    1.9205 |
   88.725    15  1366 |    0.0160    1.9366 |
   89.700    15  1381 |    0.0161    1.9526 |
   90.675    15  1396 |    0.0161    1.9688 |
   91.650    15  1411 |    0.0160    1.9847 |
   92.625    15  1426 |    0.0161    2.0008 |
   93.600    15  1441 |    0.0160    2.0168 |
   94.575    15  1456 |    0.0160    2.0328 |
   95.550    15  1471 |    0.0160    2.0488 |
   96.525    15  1486 |    0.0161    2.0649 |
   97.500    15  1501 |    0.0159    2.0808 |
   98.475    15  1516 |    0.0161    2.0969 |
   99.450    15  1531 |    0.0159    2.1128 |
  100.425    15  1546 |    0.0159    2.1287 |
  101.400    15  1561 |    0.0159    2.1447 |
  102.375    15  1576 |    0.0161    2.1607 |
  103.350    15  1591 |    0.0159    2.1766 |
  104.325    15  1606 |    0.0159    2.1925 |
  105.300    15  1621 |    0.0160    2.2085 |
  106.275    15  1636 |    0.0160    2.2245 |
  107.250    15  1651 |    0.0159    2.2404 |
  108.225    15  1666 |    0.0159    2.2563 |
  109.200    15  1681 |    0.0160    2.2722 |
  110.175    15  1696 |    0.0161    2.2883 |
  111.150    15  1711 |    0.0160    2.3043 |
  112.125    15  1726 |    0.0160    2.3203 |
  113.100    15  1741 |    0.0161    2.3363 |
  114.075    15  1756 |    0.0160    2.3523 |
  115.050    15  1771 |    0.0159    2.3682 |
